VIN,CarId,Color,FuelType,Aspiration
00X4X3RERJ7IE269Z,152,White,Diesel,turbo
0547FDS6M2O67MHA4,154,SlateGrey,Gas,std
062QBUP6NLDFELAEU,158,Silver,Gas,std
08KCTPLLPDTUCWRWS,111,Grey,Gas,std
0AHXFLV9JHV1C3FLF,221,Red,Gas,std
0EMM2KMRA875ZZRNG,36,Silver,Gas,std
0G002O2T5Y0AHC1N5,214,SlateGrey,Gas,turbo
0G2I42CFVO3FA93KD,170,Azure,Gas,turbo
0GXRK2BFBUAFHPKCA,68,Blue,Gas,std
0H88E8YY3EUELB457,75,Silver,Gas,std
0HPFDNDLRRD95V7TP,187,MetallicBlueViolet,Gas,std
0K157Y4R8DN1Y5Z9F,74,Azure,Gas,std
0NCAORXGCS7WQLOQ1,64,Black,Electric,std
0VRKRY4RQG2T8PBF7,53,DarkBlue,Gas,turbo
0W55INDLKFLOGO3MY,159,Black,Gas,std
0WNSOLYN5IIV8LBKT,69,DarkBlue,Gas,std
0WR03RBQOIEE54NP1,201,White,Gas,std
103OUVCEWCN711EHE,127,DarkBlue,Gas,turbo
10OMONAP7LMWTPHT9,233,MetallicBlueViolet,Diesel,std
141PHXSEFBVZ60Z6U,42,DarkBlue,Gas,std
14BZZQO5WQN3AWNQU,153,DarkBlue,Gas,std
165K804CU71Z1ERBS,178,Azure,Gas,turbo
16WM20E2CYWGB97H2,58,Green,Gas,std
197R89077A15FP7QB,228,MetallicBlueViolet,Diesel,std
1ATOBK70TS7K4HSV5,90,Orange,Gas,std
1BQ0I31MXA09E6ZIN,116,Crimson,Gas,std
1C3IF73PPKKW3ZOOM,103,Azure,Gas,std
1EXU6S978JMN2FSPR,27,DarkGrey,Gas,std
1FVYIKXVMOTS48FD3,91,Black,Gas,std
1G0C8U4I8W9LKNVHK,199,DarkRed,Gas,std
1GC0VJXOXP5LYVFZ5,219,Grey,Gas,std
1GR06UKABBYUPAAQ0,35,Yellow,Gas,std
1GTUL2NZJYHIW0QU6,102,Grey,Gas,std
1HFYPZLWNTBXYBCRD,171,SlateGrey,Gas,std
1IDOX778KN0B9JVQ8,227,Blue,Diesel,std
1IVYAAHKVZRPBD02D,142,DarkGrey,Gas,std
1K9GOVE10DNH5V6H8,119,Azure,Gas,turbo
1LY9QW7EQBB45DARA,14,White,Gas,std
1LZ66GZZZWS3BGP1Z,166,Crimson,Gas,turbo
1P1JKGSH1PMCUK9TK,50,Orange,Electric,std
1RQE8R5VAC6549288,134,DarkRed,Gas,std
1SJG95N3TFJLZL4CY,1,Crimson,Gas,std
1SZ0YBL52GH4DU6R4,168,Orange,Gas,std
1TL2W2OMKFZB9RY8A,100,DarkBlue,Gas,std
1UEFWVM1FAN8T6I0T,166,Crimson,Gas,std
1WEDGF0CYN07Q3SFR,217,Orange,Gas,std
1WWBF8QDRJ71D1MNH,91,Grey,Gas,std
1ZEURPPYS3LQ9B1OM,52,White,Gas,std
1ZSLOLC780WRE70K5,199,Green,Gas,std
201NL77U9NTET5BNV,79,Green,Gas,std
2047PY92NC67UP35E,181,Blue,Gas,std
21M1MAGR5A1TE429G,116,Grey,Gas,std
21TJHP7Z4LT1SZLOD,178,Blue,Gas,std
23YWOULD6D9CDDWJC,149,Silver,Gas,turbo
24VQU95A10FONY1M0,218,DarkGreen,Gas,std
25SQ98SZSV1PEINT9,31,MetallicBlueViolet,Gas,std
26PK7J56X3W3ZXMH4,193,DarkGrey,Gas,turbo
26QZQ18BSM7Y2S6CT,177,Red,Gas,std
26WJSGHX4MA5ROHNL,66,Orange,Gas,turbo
27132MOCI2XLY2WV7,129,Green,Gas,std
2776UM3B1X19S1RD3,132,MetallicBlueViolet,Gas,turbo
27NNVDN0MQWRUCNO4,57,DarkGreen,Gas,std
27SEXSHYVQ6VY54IT,130,Blue,Gas,std
27YUT4LTMYN3YRE4G,225,White,Gas,turbo
28OG5SW1NGQTHW91M,185,Grey,Gas,std
2C5IHES2EUQJDSHAH,82,SlateGrey,Gas,std
2CMJ5UEGMD5B9EQWE,84,Black,Gas,std
2EFQGC2E6Z3VLIL5J,55,Green,Gas,turbo
2G7EYW7BNN13BRKHD,214,Silver,Gas,std
2IFVLP4C80UP4TW4E,2,Azure,Gas,std
2JTJMX2SB7JWMHRT5,62,Black,Gas,std
2JXM1P3WJ0HZQBR6S,39,Yellow,Gas,std
2LHXAFK77PLSVB72E,33,Green,Gas,std
2NYGTEYPYXDZB74LD,33,Red,Gas,std
2POR20L908FD1YUHI,143,Crimson,Gas,turbo
2QN5ZACGDWLC2AUYW,139,Black,Gas,std
2QR2YNKJSSE7JW9BG,54,Blue,Gas,std
2RPK4JEA3FALAWRNJ,181,Crimson,Gas,std
2SWBNJ06KLKM6Z25U,191,DarkGreen,Gas,std
2TR4OIFFG1FHEC962,170,MetallicBlueViolet,Gas,std
2UTGGN8KD109VUP08,178,DarkRed,Gas,std
2V5LC49IWTQB37KT1,234,DarkBlue,Diesel,std
2VLJ0HTOXAZKD84E0,166,MetallicBlueViolet,Gas,std
2W53REI7D5B4RAOQI,91,Grey,Diesel,std
2YH3ZQG30MLZ78E02,41,SlateGrey,Gas,std
2YWYDXNLDHHR9XRME,24,Crimson,Gas,std
35IXWH1MAA4OIAD6L,115,DarkGrey,Gas,std
35XHGME5WVF2ZTU8D,165,DarkGrey,Gas,std
364S6EG4X3SVFJ2BP,154,Crimson,Gas,std
369POM9VPZ3VTAC14,56,Grey,Gas,std
39GI4HW1QA7DPSHVZ,143,DarkRed,Gas,std
3C1YNXSSPZQEWG7H8,208,DarkGrey,Gas,std
3C5X9UOQ78074WA13,40,Azure,Gas,std
3CVNX44336O6VXVH5,103,Grey,Gas,std
3DEMUUQ9SRFUJGWXI,6,Grey,Gas,std
3FZRIHE0VMBV7V12F,20,Orange,Gas,std
3HAOIE7ES2MHZW9TT,69,Silver,Gas,std
3IULQNR9142HNRXP0,138,Silver,Gas,turbo
3IWYPOTIIROOOW96Y,162,Crimson,Gas,turbo
3JOAP9YH2NS9BNBMQ,37,DarkGrey,Gas,std
3K8D206F02T5ES7GT,61,DarkBlue,Gas,std
3KT2V4UO4F5Y3T978,199,DarkGrey,Gas,turbo
3M2QKF85O1JDSVFJD,156,Orange,Gas,std
3MOPQ5ZT5C38AXQ2U,209,DarkGrey,Gas,std
3NH16M9PHUWN0J4WH,214,Crimson,Gas,std
3NPT1KE0J82E1TQZF,79,Red,Gas,std
3NZ8OSIFA84BW8PHW,141,Grey,Gas,std
3OB7VRGY1WEUOKZWT,9,White,Gas,std
3OQE2DL51SU3H6SOA,64,DarkGreen,Gas,std
3P5ZE10LAAN7EGLY5,192,DarkBlue,Gas,turbo
3PBED0J26IA5PGY7C,82,SlateGrey,Gas,std
3REPY93TZ6LBB10D6,133,Orange,Gas,std
3V7GGYOD5XBCZDC33,66,Crimson,Gas,std
3YCOL40F12L4LUCGZ,111,DarkGrey,Gas,std
42P4RNMT6NMSXFXQM,218,MetallicBlueViolet,Gas,std
444OSF4U94SZB3YX2,119,SlateGrey,Gas,std
44TOC9IZM43FJ9UST,94,DarkGrey,Gas,std
45I7T4W4UK2KK2ISU,94,Red,Gas,turbo
460ATLL1J6PT06CCJ,177,Orange,Gas,std
48YATLLHAKDR9CPSC,113,DarkBlue,Gas,std
48ZG0D16RBN971LUD,11,MetallicBlueViolet,Gas,turbo
4A8BIDB536U5N60MF,73,Grey,Gas,std
4AWP7VW2I1B29EMS9,140,Crimson,Gas,turbo
4BVGRVWL4X4XWISKS,5,Red,Gas,std
4EG3LB1DZ5GSPEJO3,106,DarkGreen,Diesel,turbo
4EXOY7UDX9D8QD959,28,Green,Gas,std
4F1ZXMNVFCSEJ2YC7,194,Green,Gas,std
4FYS6YC0K1RBI1EMB,113,Grey,Gas,std
4G9UJNN4I19GGCQQL,17,Red,Electric,std
4HD8ENA08SNVJYBY5,59,Green,Gas,std
4HYIIIKGD06F408T5,201,DarkGreen,Gas,std
4JGW9T7BS026NKHJD,11,Azure,Gas,std
4JJICH9W9ON8BJE9U,190,MetallicBlueViolet,Gas,std
4K11P2TCO0ZJ0B0H6,227,DarkBlue,Gas,std
4M6BT8JN5XIKDFQ2K,194,Yellow,Gas,turbo
4MGJT91I1X0KYCFAD,206,Silver,Gas,std
4MHN9K0ELUQSAHN1F,228,SlateGrey,Gas,std
4MWUU96KZ7SBU1QPI,74,White,Gas,std
4NWXWHUY4FUCII7JX,147,Silver,Gas,std
4PTEIUW9S8YLF21MJ,84,Crimson,Gas,std
4QHO9Z5P2ECSHUHSX,63,MetallicBlueViolet,Gas,std
4QYATR9NXWNSAUVQU,144,Silver,Gas,std
4SDLFOS4Y8G9D7CE5,29,Yellow,Gas,std
4SHUC4J3E2OBGCRTZ,47,Blue,Diesel,turbo
4SMDQVK8JKFCT5WYC,112,SlateGrey,Gas,std
4TLDBD413RMQ9K1UF,40,Silver,Gas,std
4UQ5Y7NUMUL5AFM8J,188,Blue,Gas,std
4VYFUKF309ODSIA48,29,Grey,Gas,std
4XGL5EQ4Y7274NO35,178,Silver,Gas,std
4Z6CZLHUW623QR8LX,196,Grey,Gas,std
4ZHXTWHH1K9BARWA3,129,Azure,Gas,turbo
4ZV9MBVJL7K1540ZL,38,Black,Gas,std
50SW9PB74OLSCNCEJ,202,DarkGrey,Gas,std
52DKNL3VUFO4JD1MX,213,Black,Gas,std
52UO3E8C8ZOZXE6OZ,190,Grey,Gas,std
55PV7H4S3UIJTO5J4,151,DarkGreen,Gas,std
568JL5QJXB2G9ZCTO,209,DarkBlue,Gas,std
58GFLAZ2Z0DSU1YMJ,55,Crimson,Gas,std
58ZOCI38QKP897IZT,32,Azure,Gas,std
59R9RL68LQPYH1BMO,154,DarkGreen,Gas,std
5C2ABE3KZT2I3YUMO,81,Green,Gas,std
5CLJMWNZJHNI36YWH,201,MetallicBlueViolet,Diesel,std
5DPKZJXT67H1MU7EJ,117,Blue,Diesel,std
5EDSMSNGMQ5C9YOM4,153,Red,Gas,std
5EO3GEF3XH5KEPDQ6,196,White,Gas,std
5F7DFW3KFN8NTVG1U,5,DarkRed,Gas,turbo
5GPMJRX5EMBE4J20B,218,SlateGrey,Gas,std
5H7BDXTKTIRIMVGIS,20,DarkBlue,Gas,std
5K3B72A46Q0LK2T1M,41,SlateGrey,Gas,std
5KG95246KEDUMTALR,80,Yellow,Gas,std
5KKKGPC13Q8K9ACCQ,65,Orange,Gas,std
5KKR2VB4WHQH97PF8,168,Azure,Diesel,std
5LK5NMJ0KR8I40R5W,125,Green,Gas,std
5NLI4XOX7KZ0JCTB1,156,DarkRed,Gas,turbo
5REU4ZOG1NX6AFLZU,18,Red,Gas,std
5S0H3GX3IVH9NJXGR,46,Grey,Gas,std
5T3AVLN8605RIOE3F,28,MetallicBlueViolet,Diesel,std
5WGK4LS31ZB9R06Z9,51,Blue,Gas,std
5XOK8VEFHSKT39AJS,165,SlateGrey,Gas,std
5Z9Q3IVNUVH9NXV03,135,Silver,Gas,turbo
60F6J6XRQMDX8YZGS,66,DarkBlue,Diesel,turbo
60KX2A6KCYWX2MR14,136,Black,Gas,std
60VWQA1A274G0SAVL,62,Orange,Electric,std
63REOYYUHOPS1D62C,19,Blue,Gas,std
655PKQM52T36RH7AW,204,Silver,Gas,std
65T7GEODQZR572NX1,136,Azure,Gas,std
67E710RBKX9C4LKLX,168,Grey,Gas,std
67GH1TRNJ2SKSGW3R,162,Green,Gas,turbo
69DP9QQWUPUCH8FZ2,191,DarkGrey,Gas,std
6BTD6NHP7DS1W7SJX,138,SlateGrey,Gas,std
6DEQYJ902A5G55P38,62,Orange,Gas,std
6DP2D5TG3HMPV3OFE,65,Blue,Gas,std
6ENV0GETQGSRTWHLM,110,Grey,Gas,std
6JCR64H00DR7234A1,11,DarkGreen,Gas,turbo
6KE9DCHAD5FUVEYFU,87,Azure,Gas,turbo
6LYFVMAYEY11IS1PD,146,Green,Gas,std
6P5QD0M1088NHJL4X,122,SlateGrey,Gas,std
6P7LSZT1HRPU4BXQ2,127,Azure,Gas,std
6P9LUH02Y8M86BMO3,21,SlateGrey,Gas,std
6QLISR018O06X8K44,80,DarkGrey,Electric,std
6SANPQVCBMW4IR7PP,72,SlateGrey,Gas,turbo
6TJNA3DZ87NBG1NMG,204,Yellow,Gas,std
6XSIH7E3KUKGPMRY7,162,Grey,Gas,std
6Z8RM80TY040GCYR7,193,Grey,Gas,std
70LKXM5BCGNUG45QI,31,DarkRed,Gas,std
72EDL2XA659AR4GCB,58,Azure,Gas,turbo
74A0CS308WERTNVLJ,163,Green,Gas,std
751Z6FN1BBZQ7BYF2,174,Grey,Gas,std
75TD7E3M0OU9MT545,225,DarkBlue,Gas,std
76VYTKZNK3CD1OY0Q,42,Orange,Gas,std
79X0ESBIH98GUM9FM,125,Orange,Gas,std
7A5P5CAVN7ECYUWB3,119,Azure,Gas,turbo
7B4IM9Z4NW9L27ZKA,83,Azure,Gas,std
7E3YXCXWKJA76AHMJ,234,Silver,Gas,turbo
7EOWLFKB8LVENO5CM,220,MetallicBlueViolet,Gas,turbo
7F671X07XM1PGV12I,194,Grey,Gas,turbo
7FZRQIHOJ3XF9AUQ6,146,Azure,Gas,std
7H1MZPSHJ6U94SZZU,180,Yellow,Gas,std
7J3XU20W4WYU77SD7,110,Red,Gas,std
7JJWQM43RJRICZ7BQ,72,Silver,Gas,std
7JVRNOCBKNDZFT3H6,2,DarkGreen,Gas,std
7L4B9I15Z9MFGTSTT,113,Yellow,Gas,std
7ME0221ZAXIGG2BCJ,215,SlateGrey,Gas,std
7MU6JJR9N8EKHVKMV,197,DarkBlue,Gas,turbo
7NGTAJQ3E5LJJXKHC,110,SlateGrey,Gas,std
7NNFSYIU12C79B34H,126,Orange,Diesel,std
7NR0A40LLPWQBIVEQ,47,MetallicBlueViolet,Gas,std
7OJD4R9Z53W0MN5K4,45,Yellow,Gas,std
7OYWICV9DB7CKCT30,16,Silver,Gas,turbo
7PHISS6571QOXUMUU,23,MetallicBlueViolet,Gas,std
7RAHAO9T3W02YNGOX,28,Yellow,Gas,std
7RJT1IM5441CS5P55,66,Azure,Gas,std
7V80ELLZIUQODHRTK,47,DarkGreen,Gas,std
7VG4I7YJEE8P09PRV,60,Azure,Gas,std
7VR8GOM78TNXGPPVT,56,Crimson,Gas,std
7Y33JHKTKJAXEQZ69,118,Azure,Gas,std
7YGDIV992ESAP2H3C,206,Orange,Gas,turbo
80CVKN1KQISZH40NB,9,DarkGrey,Gas,std
80K0NUUU1CUV2ZBK1,24,Green,Gas,std
81N6WAFS5FAL092GC,125,Blue,Gas,std
82O1BGQ4J80MYLTMH,23,Crimson,Gas,turbo
84AO7CIHK2FYHY28Q,202,MetallicBlueViolet,Gas,std
87NAPA5IHNG5E2FLU,189,Yellow,Gas,std
87USY6PCJ78B9KL0I,142,Orange,Gas,std
88KN6269SHW7SO6RX,191,DarkGreen,Gas,turbo
89K02IJKPPMHR6P29,127,White,Gas,std
89RVZS6H5ONFGGIY2,109,Green,Gas,std
8A9IV3OLVSUTSKGIV,186,DarkBlue,Diesel,std
8CJ9VFVULTIBSB6R9,83,Silver,Diesel,std
8EKI6ZXVYH4MXFDP3,90,Silver,Gas,std
8F67N4MUFVYKXT21M,130,DarkBlue,Diesel,std
8G629G3ODJ1223IGD,124,Black,Diesel,std
8GFT5LL3THSBG73SX,49,SlateGrey,Gas,std
8GQP6489S1L1WBZC2,159,Green,Gas,turbo
8JE4ZZRGE7A19KLES,109,Black,Gas,turbo
8KRJYE1D2LYS2LZ62,212,DarkBlue,Gas,std
8L6V0W44CYJ2N6675,11,Yellow,Gas,std
8NNXXKPL2MOO0WWOT,97,Red,Gas,std
8PNKP5X60QCX1RZCQ,194,Black,Gas,turbo
8Q6LGH4OV7QD0M71P,110,DarkRed,Gas,turbo
8QCP3UPCXF58Z5MFD,64,Grey,Gas,turbo
8QZT8BMSONWOHU64W,80,Crimson,Gas,std
8R5PZIUF2W5BSHUW2,206,Crimson,Gas,std
8RHCYCA9UBHU3FHSQ,53,SlateGrey,Gas,turbo
8TSLKE8YXL5E9TYEI,139,Red,Gas,std
8TYOKHIBOCWVA8JV5,195,DarkBlue,Gas,std
8V2FOIP9L5WBBUOSF,210,DarkRed,Diesel,std
8VLL0JTZZJNTRD9J3,228,Green,Gas,std
8WT2Z7L1OFSRATD3S,120,White,Gas,std
8XTNCIEQDLN2Q7BGK,158,Blue,Gas,turbo
8YMOP1TWCIJHLSO4I,111,Orange,Gas,std
90CZR3HKNWO8LYBVS,227,DarkRed,Gas,std
90Y89GBSZII8YXUY6,41,White,Gas,std
917NN9WC1C22LPLGB,105,DarkGrey,Gas,std
92ATTZFKFTB1UD4LG,202,Blue,Gas,std
93857VQ53P2BPAI55,179,Azure,Gas,std
95MWOAI2PAX5CS8WD,143,Green,Gas,std
96VG29MVTCHMRXTEG,11,Crimson,Gas,std
97EU3QJTF3M2XNFJM,101,MetallicBlueViolet,Gas,turbo
98B95UO67WFOK8F48,157,Red,Gas,std
98LESQ69LOLOUC7TN,67,DarkBlue,Electric,std
9B7KZITHVEK22LWFB,115,SlateGrey,Gas,std
9C2RHVRVLMEJDBXLP,24,Green,Gas,std
9DC3XI86623BSWVN0,125,Black,Gas,std
9EDN7R7D50YQZWN8Y,211,Green,Gas,std
9G82JPEOCEYYP40JT,108,White,Gas,std
9JQ1ITZKRYJWJPYNU,99,Azure,Gas,std
9L2WOKP3K45W1WN7X,130,Silver,Gas,std
9L8C15C6NR9I5FL1E,183,White,Gas,std
9NVV6QQNV0H9AI17O,32,MetallicBlueViolet,Gas,std
9NY68LBZRGF3QK9GD,158,Black,Gas,std
9O6PX304MJXUBQE6L,36,Black,Gas,turbo
9OUJ0ZTHGHASGL078,204,DarkRed,Gas,turbo
9PE0W00BCL5DDSF17,200,Black,Gas,std
9RKRBPI0DPZEWMPF5,138,DarkBlue,Diesel,std
9S6W8VY7BUNUS98GX,126,Crimson,Diesel,std
9SIVI9TF4VPA6DVEW,231,Blue,Gas,std
9V7PRC21RG1H6ARY1,150,Blue,Gas,std
9W6JQ8N6O5QK2DQE1,41,DarkRed,Gas,turbo
9WFTUY5RBS4IME1QF,8,SlateGrey,Gas,std
9Y91T9FHECA86ANJO,95,Orange,Gas,std
9ZMA2FR6LFGXAB4YJ,175,Yellow,Gas,std
A5L2PNGM9R7SQ2P5K,166,Blue,Gas,turbo
A69MG5G82IKHWE8JO,162,Red,Gas,turbo
A6F0W6YJMU6KPAEWT,42,SlateGrey,Gas,std
A6J8LHYY0KDGGQQAA,208,DarkBlue,Gas,std
A75GQE0AKRWCYIMQV,207,Crimson,Gas,std
A91YN14MAW4IWSIH2,208,DarkGreen,Gas,std
AAS75KHKTTGXX1D1M,153,Silver,Gas,turbo
AB9XRZIJSE6ERA1S7,187,MetallicBlueViolet,Gas,std
AFGGWVWU9Z3TT1002,158,Azure,Gas,std
AMBC6BM5EI9BJG5HR,207,DarkGreen,Gas,std
APO22YJHDGPOHDYDZ,146,Yellow,Gas,std
APPCZDN8XT2RD77PP,67,Crimson,Gas,std
APZK8MLD6NRH8AE1B,125,Grey,Gas,std
AQ4312HPF4LE4RC34,229,Yellow,Gas,std
AQTB6Y67HX3106CE2,216,DarkRed,Gas,std
AQZ7SJ596K9GXUIOY,224,White,Gas,turbo
AV9K50ANNDYXIU270,11,Red,Gas,turbo
AV9M6DEWSQUX2VB4L,35,Yellow,Gas,turbo
B59G1Z6XDWV7WKA7V,32,Red,Gas,std
B59XQZAWXZ0NDPO7V,158,Red,Gas,std
B6CQ2IMGB37U6PZ7I,214,DarkBlue,Gas,std
B76MOUW76D6W7JL82,193,DarkRed,Gas,std
B9NTZYHWYRNIIQ4SW,69,DarkBlue,Gas,turbo
B9PZWXB8HEJUISEUG,140,Crimson,Gas,std
B9TIR0Q7N9CHFMYT1,39,DarkGreen,Gas,std
BBAWQA6H4DGS3R6GQ,206,DarkRed,Gas,std
BCBH8NN5VYDYJKHLN,130,SlateGrey,Gas,std
BCYQLBG6Q8FQ17JHS,131,Green,Diesel,std
BGCYBR1K8A3SIH5BI,153,Silver,Gas,std
BHUJXHGM87M8OYQC3,201,Silver,Gas,std
